time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,"city,region",dist_se,city,country
2018-12-16 16:15:45.350000+00:00,18.6468,-72.0948,10.0,3.5,ml,,80.0,0.23,0.47,us,us2000iu8m,2022-08-08 10:47:44.006000+00:00,"0 km S of Thomazeau, Haiti",earthquake,3.9,2.0,0.071,26.0,reviewed,us,us," Thomazeau, Haiti",0.0,Thomazeau,Haiti
2018-10-17 02:05:26+00:00,20.0612,-72.9869,12.64,4.4,mb,,52.0,1.662,0.94,us,us1000hg1h,2018-12-21 22:27:08.040000+00:00,"21 km NW of Port-de-Paix, Haiti",earthquake,4.3,4.2,0.098,30.0,reviewed,us,us," Port-de-Paix, Haiti",21.0,Port-de-Paix,Haiti
2018-10-08 05:04:26.610000+00:00,20.2143,-72.9239,10.0,4.4,mb,,79.0,1.783,0.49,us,us1000h8mf,2018-12-21 21:15:46.040000+00:00,"31 km NNW of Port-de-Paix, Haiti",earthquake,5.5,1.9,0.148,13.0,reviewed,us,us," Port-de-Paix, Haiti",31.0,Port-de-Paix,Haiti
2018-10-07 20:00:18.890000+00:00,20.0414,-73.0143,23.0,5.4,mww,,27.0,1.655,1.13,us,us1000h8hi,2022-05-03 19:34:11.544000+00:00,"22 km WNW of Port-de-Paix, Haiti",earthquake,6.0,1.9,0.054,33.0,reviewed,us,us," Port-de-Paix, Haiti",22.0,Port-de-Paix,Haiti
2018-10-07 00:11:51.220000+00:00,20.0343,-73.0128,24.0,5.9,mww,,19.0,1.648,0.7,us,us1000h8an,2022-05-03 19:34:16.985000+00:00,"21 km WNW of Port-de-Paix, Haiti",earthquake,5.0,1.4,0.055,32.0,reviewed,us,us," Port-de-Paix, Haiti",21.0,Port-de-Paix,Haiti
2018-04-12 00:45:51.940000+00:00,19.7163,-73.1292,10.0,4.0,mb,,54.0,1.423,0.76,us,us2000dyja,2018-07-07 02:25:19.040000+00:00,"9 km NNE of Petite Anse, Haiti",earthquake,4.5,2.0,0.298,3.0,reviewed,us,us," Petite Anse, Haiti",9.0,Petite Anse,Haiti
2018-03-15 02:32:23.940000+00:00,18.4202,-73.3138,10.0,3.2,ml,,110.0,0.968,0.33,us,us1000d4ku,2018-06-11 21:53:45.040000+00:00,"9 km SSE of Anse-à-Veau, Haiti",earthquake,5.3,1.6,0.115,10.0,reviewed,us,us," Anse-à-Veau, Haiti",9.0,Anse-à-Veau,Haiti
2018-02-17 00:25:16.300000+00:00,18.8249,-73.6083,12.44,4.6,mb,,37.0,1.276,0.83,us,us2000d3lu,2018-05-15 06:29:11.040000+00:00,"34 km NNW of Petit Trou de Nippes, Haiti",earthquake,5.5,4.4,0.036,228.0,reviewed,us,us," Petit Trou de Nippes, Haiti",34.0,Petit Trou de Nippes,Haiti
2017-12-13 22:10:24+00:00,18.4887,-72.9668,10.0,3.6,ml,,127.0,0.634,0.49,us,us2000c439,2022-08-07 22:09:43.785000+00:00,"12 km WNW of Tigwav, Haiti",earthquake,4.5,2.0,0.115,10.0,reviewed,us,us," Tigwav, Haiti",12.0,Tigwav,Haiti
2017-09-02 20:14:08.070000+00:00,18.9704,-72.0443,9.36,4.3,mb,,64.0,0.506,0.86,us,us2000aej6,2022-08-07 16:17:58.195000+00:00,"10 km WSW of Thomonde, Haiti",earthquake,4.4,7.6,0.079,46.0,reviewed,us,us," Thomonde, Haiti",10.0,Thomonde,Haiti
